CMDLINE C:\Users\anton\AppData\Local\Programs\Python\Python310\python.exe .\held_karp_algorithm.py
MEM 1.667969 1668775329.1790
MEM 18.324219 1668775329.2816
MEM 31.234375 1668775329.3905
MEM 32.003906 1668775329.4993
MEM 32.035156 1668775329.6081
MEM 32.089844 1668775329.7171
MEM 32.121094 1668775329.8250
MEM 32.148438 1668775329.9339
MEM 32.183594 1668775330.0435
MEM 32.277344 1668775330.1522
MEM 32.300781 1668775330.2600
MEM 32.320312 1668775330.3692
MEM 32.347656 1668775330.4798
MEM 32.367188 1668775330.5893
MEM 32.382812 1668775330.6969
MEM 32.402344 1668775330.8061
